genome_size_id,ott_id,species_name,genome_size_mb,c_value_pg,method,source_column,source,note,used_in_maps,flag_unverified
GS0335,ott689650,Macaca mulatta,3290.97,3.365,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0336,ott539171,Macropus eugenii,3075.18,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0337,ott539171,Macropus eugenii,1153.0,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0338,ott258235,Magnaporthe grisea,42.711,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0339,ott258235,Magnaporthe grisea,42.711,0.041,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0340,ott3902985,Malus domestica,1874.77,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0341,ott3902985,Malus domestica,1874.77,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0342,ott321926,Malus sieversii,733.5,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0343,ott854961,Malus pumila,742.3,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0344,ott854961,Malus pumila,753.06,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0345,ott807634,Mangifera indica,440.1,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0346,ott339369,Manihot esculenta,582.118,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0347,ott339369,Manihot esculenta,1222.5,1.6700408997955,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0348,ott5787510,Marsupenaeus japonicus,2767.74,2.83,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0349,ott1086789,Medicago sativa,1276.29,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0350,ott1060499,Medicago truncatula,469.44,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0351,ott1060499,Medicago truncatula,469.44,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0352,ott1060499,Medicago truncatula,550.0,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0353,ott809207,Melampsora lini,170.172,0.174,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0354,ott446482,Meleagris gallopavo,1431.14,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0355,ott446482,Meleagris gallopavo,1431.14,1.46333333333333,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0356,ott446482,Meleagris gallopavo,1128.34,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0357,ott1043271,Meloidogyne hapla,53.013,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0358,ott265548,Melospiza melodia,1398.54,1.43,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0359,ott677719,Metriaclima zebra,848.776495,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0360,ott927240,Microtus ochrogaster,2287.34,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0361,ott504496,Mimulus guttatus,450.0,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0362,ott764796,Miscanthus sinensis,2591.7,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0363,ott312382,Misgurnus anguillicaudatus,1594.14,1.86,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0364,ott122362,Monodelphis domestica,3598.44,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0365,ott122362,Monodelphis domestica,3598.44,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0366,ott542509,Mus musculus,3002.46,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0367,ott542509,Mus musculus,3182.52705882353,3.25411764705882,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0368,ott207474,Musa acuminata,472.231,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0369,ott207474,Musa acuminata,472.231,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0370,ott1011010,Musca domestica,750.404,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0371,ott1011010,Musca domestica,929.1,0.95,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0372,ott857565,Mycosphaerella fijiensis,74.328,0.076,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Derived from a C-value of 0.076 pg. The compilation did not carry it forward. Retained here as an unverified candidate; verify before use.,False,True
GS0373,ott5319573,Mycosphaerella graminicola,39.7,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0374,ott729592,Nasonia giraulti,283.607,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0375,ott729592,Nasonia giraulti,283.607,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0376,ott729593,Nasonia vitripennis,295.781,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0377,ott729593,Nasonia vitripennis,332.52,0.34,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0378,ott532278,Nelumbo lutea,948.66,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0379,ott532288,Nelumbo nucifera,804.648,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0380,ott532288,Nelumbo nucifera,234.72,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0381,ott733968,Nicotiana langsdorffii,4254.3,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0382,ott222787,Nicotiana tabacum,3643.47,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0383,ott222787,Nicotiana tabacum,5066.04,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0384,ott876508,Nilaparvata lugens,1140.79,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0385,ott876508,Nilaparvata lugens,1140.79,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0386,ott513643,Nothobranchius furzeri,1242.52,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0387,ott513643,Nothobranchius furzeri,1242.52,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
